conceptOrder,conceptSlug,conceptFile
1,particle,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/01_particle.png
2,string,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/02_string.png
3,open_string,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/03_open_string.png
4,closed_string,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/04_closed_string.png
5,vibration_mode,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/05_vibration_mode.png
6,particle_as_mode,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/06_particle_as_mode.png
7,string_tension,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/07_string_tension.png
8,worldline_sheet,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/08_worldline_sheet.png
9,embedding_map,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/09_embedding_map.png
10,interaction,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/10_interaction.png
11,d_brane,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/11_d_brane.png
12,compact_dimension,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/12_compact_dimension.png
13,t_duality,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/13_t_duality.png
14,closed_gravity,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/14_closed_gravity.png
15,worldsheet_susy,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/15_worldsheet_susy.png
16,critical_dimension,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/16_critical_dimension.png
17,string_coupling,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/17_string_coupling.png
