stage_index,stage_slug,human_notation,tokens,mask_density,relation_density,carrier_energy,motion_energy,temporal_delta,structure_preservation
1,source_field,"I_0(x,y)",I|0,0.0169639587402,0.0183067321777,0.0199319235981,0.0346260741353,0.0368180386722,0.945710187903
2,display_transform,I_A = T_A[I_0],I|A|=|T|A|I|0,0.020336151123,0.0194854736328,0.0212999805808,0.0374266989529,0.0425674244761,0.92316914147
3,multiscale_field,G_{sigma_k} * I_0,G|sigma|kappa|*|I|0,0.0219650268555,0.0178756713867,0.0187549833208,0.039714500308,0.044173117727,0.944185332723
4,gradient_field,nabla I_0,nabla|I|0,0.0185203552246,0.0161247253418,0.0172032508999,0.0357736200094,0.0388574972749,0.92804135875
5,laplacian_curvature,Delta I_0,delta|I|0,0.0188140869141,0.0157203674316,0.0176989808679,0.0370684452355,0.0404204390943,0.947146330002
6,spectral_projection,F{I_0},F|{|I|0|},0.0175895690918,0.0163803100586,0.018755691126,0.0359265208244,0.0374407991767,0.939632953793
7,oriented_features,"F_V1(theta,s)",F|V|1|theta|sigma,0.0189247131348,0.0187644958496,0.0180919263512,0.0370801463723,0.0406477376819,0.938526543337
8,salience_energy,"E(x,y)",E|(|x|y|),0.016716003418,0.0174102783203,0.0173731967807,0.0355206504464,0.0384877361357,0.941732231699
9,phase_winding,omega = integral nabla phi dl,omega|=|nabla|phi|d|l,0.020393371582,0.0235366821289,0.0187908578664,0.0397657901049,0.0452614799142,0.939824184725
10,knowledge_quanta,K = {kappa_i},K|=|{|kappa|I|},0.019287109375,0.0200729370117,0.0186338871717,0.0400994941592,0.0438822582364,0.950120641845
11,relation_graph,E = {r_ij},E|=|{|R|I|J|},0.0204925537109,0.017406463623,0.0174847766757,0.0371663421392,0.0418797619641,0.929300659715
12,integrated_state,Sigma,sigma_sum,0.0190505981445,0.0155143737793,0.0177723392844,0.0338898338377,0.0368246287107,0.947158886094
13,human_symbol_calibration,"s_i in {Sigma,Omega,partial,nabla,oplus}",sigma_sum|omega|partial|nabla|oplus,0.0227394104004,0.0192756652832,0.0197383854538,0.0391933508217,0.0442572832108,0.926087693111
14,quantized_knowledge_state,"Q_K = (K,E,Sigma)",Q|K|=|(|K|E|sigma_sum|),0.016357421875,0.0177040100098,0.0171442572027,0.0325193852186,0.0346610918641,0.937649161941
