channel,source_name,dataset_path,transformation,semantic_policy
1,composite_01,/n_5_composite_field_1000x1000/data,reshape channel 1 to 1000x1000; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
2,composite_02,/n_5_composite_field_1000x1000/data,reshape channel 2 to 1000x1000; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
3,composite_03,/n_5_composite_field_1000x1000/data,reshape channel 3 to 1000x1000; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
4,chamber_01,/n_6_field_maps_v3_800x800/chamber_field/data,reshape channel 1 to 800x800; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
5,fuchsian_01,/n_6_field_maps_v3_800x800/fuchsian_tiling/data,reshape channel 1 to 800x800; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
6,ginibre_01,/n_6_field_maps_v3_800x800/ginibre_field/data,reshape channel 1 to 800x800; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
7,modular_eta_01,/n_6_field_maps_v3_800x800/modular_eta/data,reshape channel 1 to 800x800; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
8,weyl_01,/n_6_field_maps_v3_800x800/weyl_field/data,reshape channel 1 to 800x800; normalize; resize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
9,laplacian_mode_01,/n_2_e8_lattice/laplacian_modes/modes,grid first Laplacian mode by xy; normalize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
10,defect_charge_density,/n_3_defect_topology/charge + /n_3_defect_topology/pos,grid charge values by defect positions; normalize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
11,geodesic_speed,/n_4_geodesic_field/vel,hypot of velocity components; reshape 220x220; normalize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
12,geodesic_curl,/n_4_geodesic_field/curl,reshape curl to 220x220; normalize,"Canonical H5 values are auxiliary numeric visual-source tensors only; they are not particle measurements, evidence, or observations."
