id,dataset_path,output_file,matlab_class,dimensions,rank,element_count,bytes_in_memory,finite_count,nan_count,inf_count,min_value,max_value,mean_value,std_value,mat_file_sha256
1,/n_2_e8_lattice/roots_2d,03_h5_tensor_extracts/01_n_2_e8_lattice/001_n_2_e8_lattice__roots_2d.mat,single,[2 240],2,480,1920,480,0,0,-1,1,0,0.372663278232404,e0920420c84ff55047e84aa6092bad04288079a12beb3f5045e7536a9d4f6c0d
2,/n_2_e8_lattice/connections/a,03_h5_tensor_extracts/01_n_2_e8_lattice/002_n_2_e8_lattice__connections__a.mat,single,[2 1832],2,3664,14656,3664,0,0,-0.91608190536499,0.807451784610748,0.000171556803458838,0.298891796367649,b45188a0320ac90a4519cff9fc78cfe0791100fb9655eab581cbac3d4f53de8c
3,/n_2_e8_lattice/connections/b,03_h5_tensor_extracts/01_n_2_e8_lattice/003_n_2_e8_lattice__connections__b.mat,single,[2 1832],2,3664,14656,3664,0,0,-0.807451784610748,0.91608190536499,-0.000171556803458838,0.296935446763357,455e29e212212d1670d7c6f5d403633203a1d49340cf8fe4cfd752d68c200a1f
4,/n_2_e8_lattice/connections/d,03_h5_tensor_extracts/01_n_2_e8_lattice/004_n_2_e8_lattice__connections__d.mat,single,[1832 1],2,1832,7328,1832,0,0,0.0113389464095235,0.219964057207108,0.127293015981711,0.0653756865759643,7670c8c74c0bc93db049468b34e6d16b62ced4a2c3cd8c0aa0e3738e9db7415c
5,/n_2_e8_lattice/laplacian_modes/modes,03_h5_tensor_extracts/01_n_2_e8_lattice/005_n_2_e8_lattice__laplacian_modes__modes.mat,single,[12 240],2,2880,11520,2880,0,0,-1,0.450707674026489,-0.00570390571828607,0.0643083825269592,c5df34a5c8fbeb05c9b3bb4c875c6723c6b76d744d63bc753ca61c0fe8529f6c
6,/n_2_e8_lattice/laplacian_modes/xy,03_h5_tensor_extracts/01_n_2_e8_lattice/006_n_2_e8_lattice__laplacian_modes__xy.mat,single,[2 240],2,480,1920,480,0,0,-1,1,0,0.372663278232404,556fe216a77666ae1f42825ad1de4e35044e9534007f4cc11468f343b896da8a
7,/n_2_e8_lattice/streamlines/logmag,03_h5_tensor_extracts/01_n_2_e8_lattice/007_n_2_e8_lattice__streamlines__logmag.mat,single,[278629 1],2,278629,1114516,278629,0,0,-0.507802069187164,4.77460098266602,4.04772787341624,0.586604659597301,60755c2618bc5cc34b9d8ea1fc5caab70c9c507fbdd843ac0586377de7e3068e
8,/n_2_e8_lattice/streamlines/sid,03_h5_tensor_extracts/01_n_2_e8_lattice/008_n_2_e8_lattice__streamlines__sid.mat,uint16,[278629 1],2,278629,557258,278629,0,0,1,1200,602.766657454895,345.71704827839,1f73b65e8b87331d31ab86544e71e002ea271152c09a5b10fba4631b64131669
9,/n_2_e8_lattice/streamlines/xy,03_h5_tensor_extracts/01_n_2_e8_lattice/009_n_2_e8_lattice__streamlines__xy.mat,single,[2 278629],2,557258,2229032,557258,0,0,-1.00019311904907,1.00135135650635,0.034175920315812,0.444546025544706,23a3630ca9bec05c64d2a6aae5b18a8831cafad4491789c441714c9ba650cd16
10,/n_3_defect_topology/charge,03_h5_tensor_extracts/02_n_3_defect_topology/010_n_3_defect_topology__charge.mat,int8,[2500 1],2,2500,2500,2500,0,0,-4,3,0.0168,1.10426696147666,89b5baa0c45ae030ca78bd6d4729d3dca7f3f5e416feaa27cade43ac82be94da
11,/n_3_defect_topology/degree,03_h5_tensor_extracts/02_n_3_defect_topology/011_n_3_defect_topology__degree.mat,int8,[2500 1],2,2500,2500,2500,0,0,3,10,5.9832,1.10426696147666,374ffc30fd8a60a3200ec027d6cbd30ef769be4ef27b8ded50922e6aed67a49a
