id,slug,title,notation,definition,image_file,human_notation_rendered
1,particle,Particle / חלקיק,"$x^\mu(\tau)$",A point-like excitation follows a worldline.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/01_particle.png,1
2,string,String / מיתר,"$X^\mu(\tau,\sigma)$",A one-dimensional object is labelled along $\sigma$.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/02_string.png,1
3,open_string,Open string / מיתר פתוח,"$0\leq\sigma\leq\pi$",Two endpoints require boundary conditions.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/03_open_string.png,1
4,closed_string,Closed string / מיתר סגור,"$\sigma\sim\sigma+2\pi$",The string coordinate is periodic.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/04_closed_string.png,1
5,vibration_mode,Vibrational mode / אופן תנודה,"$X\sim\cos(n\sigma),\ n=1,2,3,\ldots$",Allowed shapes form a discrete mode family.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/05_vibration_mode.png,1
6,particle_as_mode,Particle as a string state,"$|N;k\rangle$",Different quantized excitations appear as different states.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/06_particle_as_mode.png,1
7,string_tension,String tension / מתיחות,"$T=(2\pi\alpha')^{-1}$",Tension sets the energy per unit length.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/07_string_tension.png,1
8,worldline_sheet,Worldline and worldsheet,"$\tau\ \longrightarrow\ (\tau,\sigma)$",A moving string sweeps a two-dimensional worldsheet.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/08_worldline_sheet.png,1
9,embedding_map,Embedding into spacetime,"$X^\mu:\Sigma\rightarrow\mathcal{M}$",Worldsheet coordinates map into target spacetime.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/09_embedding_map.png,1
10,interaction,Splitting and joining,"$g_s$",String interactions are smooth splitting/joining worldsheets.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/10_interaction.png,1
11,d_brane,D-brane / ממברנת D,"$X^i|_{\partial\Sigma}=y^i$",Open-string endpoints can be fixed to a D-brane.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/11_d_brane.png,1
12,compact_dimension,Compact dimension,"$X\sim X+2\pi R$",A compact direction closes on itself with radius $R$.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/12_compact_dimension.png,1
13,t_duality,T-duality,"$R\leftrightarrow\alpha'/R,\ n\leftrightarrow w$",Momentum and winding exchange under radius inversion.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/13_t_duality.png,1
14,closed_gravity,Closed-string gravity state,"$\epsilon_{\mu\nu}\alpha_{-1}^\mu\widetilde\alpha_{-1}^\nu|0;k\rangle$",A massless closed-string level contains a spin-2 sector.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/14_closed_gravity.png,1
15,worldsheet_susy,Worldsheet supersymmetry,"$(X^\mu,\psi^\mu)$",Bosonic and fermionic worldsheet fields are paired.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/15_worldsheet_susy.png,1
16,critical_dimension,Critical dimension,"$D=26\ \mathrm{(bosonic)},\quad D=10\ \mathrm{(superstring)}$",Quantum consistency fixes model-dependent critical dimensions.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/16_critical_dimension.png,1
17,string_coupling,String coupling and dilaton,"$g_s=e^{\langle\Phi\rangle}$",The dilaton expectation value sets perturbative coupling.,/Users/yehoshua/Desktop/YEHOSHUA_projection_temporal_formula_from_SSOT_v15/YEHOSHUA_string_theory_foundations_law_atlas_v4/01_concepts/17_string_coupling.png,1
