metric,value,note
source_retention_corr,0.781757918858009,"Correlation between unified image and H5/source field."
source_png_vs_h5_corr,0.999965634235519,"If H5 was found: correlation between PNG source and H5 source."
source_mse,0.0274644506408263,"Mean squared difference between unified image and source."
source_psnr,15.6122908355483,"PSNR-like similarity score. Higher means more source preservation."
residual_energy_ratio,0.606890201988776,"How much non-source encoded signal remains after removing source base."
eta_carrier_abs_corr,0.881228584371425,"Decoded presence of expected eta carrier in residual."
calculus_atoms_abs_corr,0.911190130681281,"Decoded presence of combined calculus atoms in residual."
limit_abs_corr,0.898107255916823,"Limit/convergence field signature."
derivative_phase_abs_corr,0.0131405529232692,"Directional derivative-like phase signature."
gradient_abs_corr,0.513333727581521,"Gradient / local change signature."
integral_abs_corr,0.0588367358891699,"Integral / accumulation signature."
laplacian_abs_corr,0.102525487058108,"Concavity / second derivative signature."
taylor_abs_corr,0.905347157365209,"Taylor / local polynomial approximation signature."
riemann_abs_corr,0.0573157015212141,"Riemann grid / partition signature."
center_convergence_score,0.826487474293185,"Residual energy concentration near center; proxy for limit/convergence."
riemann_grid_contrast_score,0.475408280910508,"Residual energy on expected Riemann grid lines."
radial_taylor_profile_corr,0.964527039135962,"Correlation between radial residual profile and Taylor-like profile."
symmetry_left_right_corr,0.97580887121551,"Left-right visual symmetry."
symmetry_up_down_corr,0.902963631115552,"Up-down visual symmetry."
symmetry_main_diagonal_corr,0.285230549448286,"Main diagonal symmetry, only valid for square image."
symmetry_anti_diagonal_corr,0.280537431020691,"Anti-diagonal symmetry, only valid for square image."
decode_presence_mean,0.530555237244398,"Mean decoded calculus/eta signature presence."
source_retention_score_01,0.890878959429005,"Source retention mapped to 0..1."
symmetry_mean_score_01,0.969693125582765,"Mean symmetry score mapped to 0..1."
overall_experimental_score,0.722539223259765,"Combined score: decoding + source preservation + symmetry."
