dataset_path,parent_group,dataset_name,h5_storage_shape,matlab_read_shape,matlab_class,elements,bytes_in_memory,attributes_count,sha256_values,is_numeric,is_floating,is_integer,is_logical,nan_count,inf_count,finite_count,zero_count,below_zero_count,above_zero_count,min_value,max_value,mean_value,std_value,median_value,q01,q05,q25,q75,q95,q99,all_zero,unique_count_limited,decoded_ascii_colors
/n_2_e8_lattice/roots_2d,/n_2_e8_lattice,roots_2d,[2 240],[2 240],single,480,1920,0,54f2879fed8c402e8baf85148dea77d1772894069498ec3e141d42d260386e76,1,1,0,0,0,0,480,0,240,240,-1,1,0,0.372663278232404,0,-0.731407807469368,-0.611471942067146,-0.265553764998913,0.265553764998913,0.611471942067146,0.731407807469368,0,480,
/n_2_e8_lattice/connections/a,/n_2_e8_lattice/connections,a,[2 1832],[2 1832],single,3664,14656,0,9dc3810034c0aa6dde2f7c3da58d27a78031a98a4d4d73983bc75a190da6c2ba,1,1,0,0,0,0,3664,0,1823,1841,-0.91608190536499,0.807451784610748,0.000171556803458838,0.298891796367649,0.00498513085767627,-0.666287064552307,-0.540615439414978,-0.178986053913832,0.18513423204422,0.540615439414978,0.666287064552307,0,440,
/n_2_e8_lattice/connections/b,/n_2_e8_lattice/connections,b,[2 1832],[2 1832],single,3664,14656,0,cfbe7b49fa23eccbc2bf4b4503e262e71beff85557bc983d21b223fd2f0376b0,1,1,0,0,0,0,3664,0,1841,1823,-0.807451784610748,0.91608190536499,-0.000171556803458838,0.296935446763357,-0.004318424500525,-0.672484934329987,-0.521269857883453,-0.18513423204422,0.188440352678299,0.530185163021088,0.672484934329987,0,426,
/n_2_e8_lattice/connections/d,/n_2_e8_lattice/connections,d,[1832 1],[1832 1],single,1832,7328,0,539849dcdb3e777da1f33372ce5c50760039862c59751aa43c41954ae898012e,1,1,0,0,0,0,1832,0,0,1832,0.0113389464095235,0.219964057207108,0.127293015981711,0.0653756865759643,0.121337205171585,0.0318669266998768,0.0347861088812351,0.0650928020477295,0.199930399656296,0.21099179983139,0.219517901539803,0,112,
/n_2_e8_lattice/laplacian_modes/modes,/n_2_e8_lattice/laplacian_modes,modes,[12 240],[12 240],single,2880,11520,0,a6e2615d6b42808f99c1e240b4cbe7c8781cf78abba10d4d31eedb548a9ff8e1,1,1,0,0,0,0,2880,3,1523,1354,-1,0.450707674026489,-0.00570390571828607,0.0643083825269592,-6.26066138815091e-17,-0.156485773026943,-0.0897341892123222,-0.0335147976875305,0.0190686234273016,0.0858084484934807,0.132863193750381,0,1397,
/n_2_e8_lattice/laplacian_modes/xy,/n_2_e8_lattice/laplacian_modes,xy,[2 240],[2 240],single,480,1920,0,54f2879fed8c402e8baf85148dea77d1772894069498ec3e141d42d260386e76,1,1,0,0,0,0,480,0,240,240,-1,1,0,0.372663278232404,0,-0.731407807469368,-0.611471942067146,-0.265553764998913,0.265553764998913,0.611471942067146,0.731407807469368,0,480,
/n_2_e8_lattice/streamlines/logmag,/n_2_e8_lattice/streamlines,logmag,[278629 1],[278629 1],single,278629,1114516,0,76d593b48fdb0a621e4a43b8895e193c76d417b48dd1d42c6dc60d1be61f3253,1,1,0,0,0,0,278629,0,289,278340,-0.507802069187164,4.77460098266602,4.04772787341624,0.5866046595973,4.18947458267212,1.5536949634552,2.76422023773193,4.10395431518555,4.30866670608521,4.56225347518921,4.66044187545776,0,NaN,
/n_2_e8_lattice/streamlines/sid,/n_2_e8_lattice/streamlines,sid,[278629 1],[278629 1],uint16,278629,557258,0,b0f386786360f423109e7895f9aaca288147196db4947b6c06bb4bcff60ef0a7,1,0,1,0,0,0,278629,0,0,278629,1,1200,602.766657454895,345.717048278389,603,12,61,305,902,1141,1189,0,1200,
/n_2_e8_lattice/streamlines/xy,/n_2_e8_lattice/streamlines,xy,[2 278629],[2 278629],single,557258,2229032,0,0d3ad7fdcd690743df02f9764bce62aa9b0905e3db586155da1912e12d9d1863,1,1,0,0,0,0,557258,0,261874,295384,-1.00019311904907,1.00135135650635,0.034175920315812,0.444546025544706,0.0703857354819775,-0.682720772624016,-0.64500812292099,-0.373215600848198,0.449859328567982,0.666186943650246,0.798844275474549,0,NaN,
/n_3_defect_topology/charge,/n_3_defect_topology,charge,[2500 1],[2500 1],int8,2500,2500,0,a0233d8f2a2a173d55f8f61bf8358893b8b6c58d00c857f22e41de465b0453eb,1,0,1,0,0,0,2500,886,757,857,-4,3,0.0168,1.10426696147666,0,-3,-2,-1,1,2,2,0,8,
/n_3_defect_topology/degree,/n_3_defect_topology,degree,[2500 1],[2500 1],int8,2500,2500,0,587058b7cd987563c91cb5fd43311937b2e623769a25f6c2265543eba594c4e8,1,0,1,0,0,0,2500,0,0,2500,3,10,5.9832,1.10426696147666,6,4,4,5,7,8,9,0,8,
/n_3_defect_topology/pos,/n_3_defect_topology,pos,[2 2500],[2 2500],single,5000,20000,0,74b8115d25f23f0596f38ad3fe350bae92c60c6abc0b363a9f1744fac61f29e3,1,1,0,0,0,0,5000,0,2511,2489,-1.61449503898621,1.54541456699371,-0.00613823315750924,0.605338716560678,-0.00301072758156806,-1.17658812999725,-0.978308081626892,-0.481682546436787,0.470173887908459,0.97196107506752,1.16786925792694,0,4999,
