rank,root_index,x,y,degree,degree_band
1,155,-0.0877617597579956,-0.017401272431016,40,36+
2,198,0.0877617597579956,0.017401272431016,40,36+
3,130,0.070863388478756,-0.0454598292708397,36,36+
4,147,-0.0481567680835724,-0.06905896961689,36,36+
5,206,0.0481567680835724,0.06905896961689,36,36+
6,223,-0.070863388478756,0.0454598292708397,36,36+
7,41,0.0640977621078491,-0.0113379918038845,35,31-35
8,44,-0.0640977621078491,0.0113379918038845,35,31-35
9,65,-0.0549223981797695,-0.0349371321499348,35,31-35
10,68,0.0549223981797695,0.0349371321499348,35,31-35
