kind,interval,r,g,b
root_degree,0,0,0,0
root_degree,1-5,0,0,0.5
root_degree,6-10,0,0.35,1
root_degree,11-15,0,0.8,1
root_degree,16-20,0,0.75,0.2
root_degree,21-25,1,0.9,0
root_degree,26-30,1,0.6,0
root_degree,31-35,1,0.2,0
root_degree,36+,1,1,1
raw_density,0,0,0,0
raw_density,1-9,0,0,0.45
raw_density,10-24,0,0.4,1
raw_density,25-49,0,0.75,0.2
raw_density,50-99,1,0.9,0
raw_density,100-199,1,0.45,0
raw_density,200+,1,1,1
defect_density,0,0,0,0
defect_density,1,1,0.6,0
defect_density,2+,1,1,1
combined_salience,0.00-0.20,0,0,0
combined_salience,0.20-0.40,0.4,0,0
combined_salience,0.40-0.60,0.85,0.25,0
combined_salience,0.60-0.80,1,0.85,0
combined_salience,0.80-1.00,1,1,1
charge_value,-4,0.2,0,0.35
charge_value,-3,0.45,0,0.6
charge_value,-2,0,0.2,0.8
charge_value,-1,0,0.75,1
charge_value,0,0.65,0.65,0.65
charge_value,1,1,0.95,0.1
charge_value,2,1,0.55,0
charge_value,3,0.9,0,0
