dataset_path,datatype,dataspace_size_1,dataspace_size_2,group_path,role,required,runtime_numeric_input
/n_2_e8_lattice/roots_2d,H5T_FLOAT,2,240,/n_2_e8_lattice,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/connections/a,H5T_FLOAT,2,1832,/n_2_e8_lattice/connections,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/connections/b,H5T_FLOAT,2,1832,/n_2_e8_lattice/connections,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/connections/d,H5T_FLOAT,1832,1,/n_2_e8_lattice/connections,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/laplacian_modes/modes,H5T_FLOAT,12,240,/n_2_e8_lattice/laplacian_modes,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/laplacian_modes/xy,H5T_FLOAT,2,240,/n_2_e8_lattice/laplacian_modes,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/streamlines/logmag,H5T_FLOAT,278629,1,/n_2_e8_lattice/streamlines,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/streamlines/sid,H5T_INTEGER,278629,1,/n_2_e8_lattice/streamlines,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_2_e8_lattice/streamlines/xy,H5T_FLOAT,2,278629,/n_2_e8_lattice/streamlines,INTERNAL_GRAPH_SPECTRAL_REFERENCE,0,1
/n_3_defect_topology/charge,H5T_INTEGER,2500,1,/n_3_defect_topology,INTERNAL_DEFECT_TOPOLOGY_REFERENCE,0,1
/n_3_defect_topology/degree,H5T_INTEGER,2500,1,/n_3_defect_topology,INTERNAL_DEFECT_TOPOLOGY_REFERENCE,0,1
/n_3_defect_topology/pos,H5T_FLOAT,2,2500,/n_3_defect_topology,INTERNAL_DEFECT_TOPOLOGY_REFERENCE,0,1
/n_4_geodesic_field/curl,H5T_FLOAT,48400,1,/n_4_geodesic_field,INTERNAL_GEODESIC_REFERENCE,0,1
/n_4_geodesic_field/raw_points,H5T_FLOAT,2,194527,/n_4_geodesic_field,INTERNAL_GEODESIC_REFERENCE,0,1
/n_4_geodesic_field/vel,H5T_FLOAT,2,48400,/n_4_geodesic_field,INTERNAL_GEODESIC_REFERENCE,0,1
/n_4_geodesic_field/xy,H5T_FLOAT,2,48400,/n_4_geodesic_field,INTERNAL_GEODESIC_REFERENCE,0,1
/n_5_composite_field_1000x1000/data,H5T_FLOAT,5,1000000,/n_5_composite_field_1000x1000,PRIMARY_OBSERVED_FIELD,1,1
/n_6_field_maps_v3_800x800/chamber_field/data,H5T_FLOAT,3,640000,/n_6_field_maps_v3_800x800/chamber_field,INTERNAL_FIELD_BASIS_REFERENCE,0,1
/n_6_field_maps_v3_800x800/fuchsian_tiling/data,H5T_FLOAT,5,640000,/n_6_field_maps_v3_800x800/fuchsian_tiling,INTERNAL_FIELD_BASIS_REFERENCE,0,1
/n_6_field_maps_v3_800x800/ginibre_field/data,H5T_FLOAT,3,640000,/n_6_field_maps_v3_800x800/ginibre_field,INTERNAL_FIELD_BASIS_REFERENCE,0,1
/n_6_field_maps_v3_800x800/modular_eta/data,H5T_FLOAT,3,640000,/n_6_field_maps_v3_800x800/modular_eta,INTERNAL_FIELD_BASIS_REFERENCE,0,1
/n_6_field_maps_v3_800x800/weyl_field/data,H5T_FLOAT,5,640000,/n_6_field_maps_v3_800x800/weyl_field,INTERNAL_FIELD_BASIS_REFERENCE,0,1
/n_7_apollonian_circle_model/e8_chamber_angles,H5T_FLOAT,9,1,/n_7_apollonian_circle_model,INTERNAL_CIRCULAR_MANIFOLD_REFERENCE,0,1
/spectral_mappings/crystal_colors,H5T_INTEGER,9,7,/spectral_mappings,VISUALIZATION_ONLY_MAPPING,0,0
/spectral_mappings/crystal_stops,H5T_FLOAT,9,1,/spectral_mappings,VISUALIZATION_ONLY_MAPPING,0,0
/spectral_mappings/phase_colors,H5T_INTEGER,6,7,/spectral_mappings,VISUALIZATION_ONLY_MAPPING,0,0
/spectral_mappings/phase_stops,H5T_FLOAT,6,1,/spectral_mappings,VISUALIZATION_ONLY_MAPPING,0,0
