anchor_id,local_index,source_sample,salience,projection,temporal,multiscale,memory,row,column
A001,519,520514,1,1,1,0.6511663,0.8127806,514,521
A002,9537,529532,1,0.9501537,0.2231536,0.9756281,0.9381662,532,530
A003,10539,530534,1,0.876608,0.2799224,1,0.9627836,534,531
A004,12512,532507,1,0.883328,0.9737293,0.6294659,0.8320334,507,533
A005,13536,533531,1,0.8524884,0.3175794,0.9639872,0.9753811,531,534
A006,14534,534529,1,0.8525918,0.2805567,0.950276,0.9774522,529,535
A007,15529,535524,1,0.9563631,0.2145036,0.8840867,0.945751,524,536
A008,16530,536525,1,0.9020901,0.1987232,0.9363644,0.9699659,525,537
A009,17529,537524,1,0.8972003,0.2328624,0.9434628,0.9701082,524,538
A010,18531,538526,1,0.7977852,0.2539829,0.9753913,0.998881,526,539
A011,19530,539525,1,0.7999604,0.2532625,0.9694135,0.9922669,525,540
A012,20529,540524,1,0.8041971,0.3049849,0.958402,0.9861929,524,541
