node_id,external_id,node_type,row,column,source_sample,phase_rad,amplitude,time_sec,cycle_id,reference_charge,reference_degree
N0001,A001,ANCHOR,514,521,520514,NaN,1,NaN,NaN,NaN,NaN
N0002,A002,ANCHOR,532,530,529532,NaN,1,NaN,NaN,NaN,NaN
N0003,A003,ANCHOR,534,531,530534,NaN,1,NaN,NaN,NaN,NaN
N0004,A004,ANCHOR,507,533,532507,NaN,1,NaN,NaN,NaN,NaN
N0005,A005,ANCHOR,531,534,533531,NaN,1,NaN,NaN,NaN,NaN
N0006,A006,ANCHOR,529,535,534529,NaN,1,NaN,NaN,NaN,NaN
N0007,A007,ANCHOR,524,536,535524,NaN,1,NaN,NaN,NaN,NaN
N0008,A008,ANCHOR,525,537,536525,NaN,1,NaN,NaN,NaN,NaN
N0009,A009,ANCHOR,524,538,537524,NaN,1,NaN,NaN,NaN,NaN
N0010,A010,ANCHOR,526,539,538526,NaN,1,NaN,NaN,NaN,NaN
N0011,A011,ANCHOR,525,540,539525,NaN,1,NaN,NaN,NaN,NaN
N0012,A012,ANCHOR,524,541,540524,NaN,1,NaN,NaN,NaN,NaN
N0013,E001,TIME_EVENT,1000,520,520000,0,0.5877182,0.00303720577069096,0,NaN,NaN
N0014,E002,TIME_EVENT,514,521,520514,3.229557,1,0.39331814730448,0,NaN,NaN
N0015,E003,TIME_EVENT,998,521,520998,6.270619,0.693577,0.760820045558087,0,NaN,NaN
N0016,E004,TIME_EVENT,514,522,521514,3.229557,0.9338941,1.15261958997722,1,NaN,NaN
N0017,E005,TIME_EVENT,973,522,521973,6.113539,0.6682324,1.50113895216401,1,NaN,NaN
N0018,E006,TIME_EVENT,464,523,522464,2.915398,0.8971935,1.87395596051632,2,NaN,NaN
N0019,E007,TIME_EVENT,691,523,522691,4.341681,0.6807241,2.04631738800304,2,NaN,NaN
N0020,E008,TIME_EVENT,949,523,522949,5.962743,0.685597,2.2422171602126,2,NaN,NaN
N0021,E009,TIME_EVENT,537,524,523537,3.37407,0.9145033,2.68868640850418,3,NaN,NaN
N0022,E010,TIME_EVENT,1000,524,524000,0,0.7119111,3.04024297646166,4,NaN,NaN
N0023,E011,TIME_EVENT,536,525,524536,3.367787,0.9287359,3.44722854973424,4,NaN,NaN
N0024,E012,TIME_EVENT,994,525,524994,6.245486,0.6796195,3.79498861047836,4,NaN,NaN
N0025,E013,TIME_EVENT,245,526,525245,1.53938,0.6029879,3.98557327258922,5,NaN,NaN
N0026,E014,TIME_EVENT,532,526,525532,3.342654,0.967209,4.20349278663629,5,NaN,NaN
N0027,E015,TIME_EVENT,945,526,525945,5.93761,0.6777738,4.51708428246014,5,NaN,NaN
N0028,E016,TIME_EVENT,246,527,526246,1.545664,0.5813043,4.74563401670463,6,NaN,NaN
N0029,E017,TIME_EVENT,533,527,526533,3.348938,0.9991105,4.96355353075171,6,NaN,NaN
N0030,E018,TIME_EVENT,944,527,526944,5.931327,0.6352748,5.2756264236902,6,NaN,NaN
N0031,E019,TIME_EVENT,532,528,527532,3.342654,0.9949731,5.72209567198178,7,NaN,NaN
N0032,E020,TIME_EVENT,992,528,527992,6.23292,0.7005317,6.07137433561124,7,NaN,NaN
N0033,E021,TIME_EVENT,534,529,528534,3.355221,0.9961739,6.48291571753986,8,NaN,NaN
N0034,E022,TIME_EVENT,770,529,528770,4.838053,0.5821983,6.66211085801063,8,NaN,NaN
N0035,E023,TIME_EVENT,991,529,528991,6.226636,0.647007,6.82991647684131,8,NaN,NaN
N0036,E024,TIME_EVENT,246,530,529246,1.545664,0.6070449,7.02353834472285,9,NaN,NaN
N0037,E025,TIME_EVENT,532,530,529532,3.342654,1,7.24069855732726,9,NaN,NaN
N0038,E026,TIME_EVENT,1000,530,530000,0,0.7332468,7.5960516324981,10,NaN,NaN
N0039,E027,TIME_EVENT,534,531,530534,3.355221,1,8.00151860288535,10,NaN,NaN
N0040,E028,TIME_EVENT,961,531,530961,6.038141,0.6351441,8.32574031890661,10,NaN,NaN
N0041,E029,TIME_EVENT,534,532,531534,3.355221,0.9927875,8.76082004555809,11,NaN,NaN
N0042,E030,TIME_EVENT,993,532,531993,6.239203,0.6655337,9.10933940774487,11,NaN,NaN
N0043,E031,TIME_EVENT,507,533,532507,3.185575,1,9.49962034927866,12,NaN,NaN
N0044,E032,TIME_EVENT,941,533,532941,5.912477,0.6845195,9.82915717539863,12,NaN,NaN
N0045,E033,TIME_EVENT,531,534,533531,3.336371,1,10.2771450265755,13,NaN,NaN
N0046,E034,TIME_EVENT,774,534,533774,4.863185,0.6337889,10.461655277145,13,NaN,NaN
N0047,E035,TIME_EVENT,987,534,533987,6.201504,0.6564069,10.6233864844343,13,NaN,NaN
N0048,E036,TIME_EVENT,529,535,534529,3.323805,1,11.0349278663629,14,NaN,NaN
