edge_id,source_node,target_node,edge_type,weight,distance_pixels,phase_difference_rad,time_difference_sec
G00001,N0001,N0014,SPATIAL,1,0,NaN,NaN
G00002,N0001,N0016,SPATIAL,0.999938273510096,1,NaN,NaN
G00003,N0001,N0004,SPATIAL,0.988157105465138,13.8924439894498,NaN,NaN
G00004,N0001,N0043,SPATIAL,0.988157105465138,13.8924439894498,NaN,NaN
G00005,N0002,N0037,SPATIAL,1,0,NaN,NaN
G00006,N0002,N0031,SPATIAL,0.999753116900402,2,NaN,NaN
G00007,N0002,N0003,SPATIAL,0.999691405649726,2.23606797749979,NaN,NaN
G00008,N0002,N0033,SPATIAL,0.999691405649726,2.23606797749979,NaN,NaN
G00009,N0003,N0039,SPATIAL,1,0,NaN,NaN
G00010,N0003,N0041,SPATIAL,0.999938273510096,1,NaN,NaN
G00011,N0003,N0033,SPATIAL,0.999753116900402,2,NaN,NaN
G00012,N0004,N0043,SPATIAL,1,0,NaN,NaN
G00013,N0004,N0016,SPATIAL,0.989561040950534,13.0384048104053,NaN,NaN
G00014,N0004,N0014,SPATIAL,0.988157105465138,13.8924439894498,NaN,NaN
G00015,N0005,N0045,SPATIAL,1,0,NaN,NaN
G00016,N0005,N0006,SPATIAL,0.999691405649726,2.23606797749979,NaN,NaN
G00017,N0005,N0048,SPATIAL,0.999691405649726,2.23606797749979,NaN,NaN
G00018,N0005,N0041,SPATIAL,0.999197852756446,3.60555127546399,NaN,NaN
G00019,N0006,N0048,SPATIAL,1,0,NaN,NaN
G00020,N0006,N0045,SPATIAL,0.999691405649726,2.23606797749979,NaN,NaN
G00021,N0006,N0008,SPATIAL,0.998766193864201,4.47213595499958,NaN,NaN
G00022,N0007,N0051,SPATIAL,1,0,NaN,NaN
G00023,N0007,N0008,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00024,N0007,N0053,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00025,N0007,N0009,SPATIAL,0.999753116900402,2,NaN,NaN
G00026,N0008,N0053,SPATIAL,1,0,NaN,NaN
G00027,N0008,N0009,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00028,N0008,N0051,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00029,N0009,N0056,SPATIAL,1,0,NaN,NaN
G00030,N0009,N0053,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00031,N0010,N0059,SPATIAL,1,0,NaN,NaN
G00032,N0010,N0011,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00033,N0010,N0062,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00034,N0010,N0008,SPATIAL,0.999691405649726,2.23606797749979,NaN,NaN
G00035,N0011,N0062,SPATIAL,1,0,NaN,NaN
G00036,N0011,N0012,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00037,N0011,N0059,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00038,N0012,N0065,SPATIAL,1,0,NaN,NaN
G00039,N0012,N0062,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00040,N0012,N0068,SPATIAL,0.999876550830352,1.4142135623731,NaN,NaN
G00041,N0013,N0015,SPATIAL,0.468541353940964,2.23606797749979,0.0125663923099637,0.757782839787396
G00042,N0013,N0022,SPATIAL,0.0479213856160641,4,0,3.03720577069096
G00043,N0013,N0024,SPATIAL,0.0224588140845299,7.81024967590665,0.0376990474760532,3.79195140470767
G00044,N0013,N0038,SPATIAL,0.000500858353916556,10,0,7.59301442672741
G00045,N0014,N0016,SPATIAL,0.467964321374893,1,0,0.759301442672741
G00046,N0014,N0043,SPATIAL,0.00010959712381009,13.8924439894498,0.0439822673797607,9.10630220197418
G00047,N0015,N0022,SPATIAL,0.102257117629051,3.60555127546399,0.0125663923099637,2.27942293090357
G00048,N0015,N0024,SPATIAL,0.0480121225118637,5.65685424949238,0.0251326560974121,3.03416856492027
G00049,N0015,N0032,SPATIAL,0.00491159502416849,9.21954445729289,0.0376992225646973,5.31055429005315
G00050,N0016,N0043,SPATIAL,0.00023451799643226,13.0384048104053,0.0439822673797607,8.34700075930144
G00051,N0017,N0040,SPATIAL,0.00107019790448248,15,0.0753979682922363,6.8246013667426
