family_index,family_name,primitive_signature,primitive_count,structure_occupancy,mean_field_coupling,source_preservation,center_x,center_y,orientation_radians,scale_pixels
1,localized_presence,3,2,0.033287048,0.394199371,0.945048498,257.842604,253.995813,3.080088442,155.000000
2,directed_quantity,13,3,0.036277771,0.481976718,0.887359735,259.655979,255.305436,-3.081158649,155.000000
3,continuous_field,76,3,0.039554596,0.364711344,0.928168893,255.727046,235.357734,3.134583013,155.000000
4,bounded_domain,24,2,0.037014008,0.523436487,0.943541940,273.457527,271.345754,-2.717562032,97.943177
5,interaction_coupling,107,5,0.056896210,0.454712063,0.902420015,257.429192,259.080431,-3.141170332,155.000000
6,transformation_mapping,61,5,0.031936646,0.646483421,0.917227387,261.900652,264.267521,0.937240646,77.185857
7,superposed_paths,106,4,0.017261505,0.530442655,0.933005669,258.984717,265.673824,-2.854224547,76.446330
8,balanced_pair,169,4,0.047920227,0.702317417,0.948007497,273.483991,257.370751,3.139389198,147.338042
9,temporal_samples,205,5,0.037445068,0.521397114,0.939477239,263.975310,264.156065,1.106232062,116.711889
10,composite_system,255,8,0.052391052,0.551771224,0.904969010,261.867645,270.894135,0.859917404,102.714856
