anchor_index,row,col,window,anchor_score,formula_id,formula_human,method_id,n_frames,mask_density,mean_motion_energy,max_motion_energy,temporal_stability_mean,structure_preservation,formula_region_motion_ratio,projection_alignment_mean,projected_motion_gain,base_png,final_png,motion_energy_png,temporal_delta_png,projection_map_png,mask_png,framesheet_png,temporal_patch_mat
1,379,129,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.075653076171875,0.2146564,1,0.969920750459035,0.976074695587158,2.68041,0.5527045,1.481475,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_base.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
1,379,129,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m02_projection_balanced,16,0.09918212890625,0.2059172,1,0.986360100905101,0.972229301929474,2.523679,0.4985702,1.258231,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_base.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_final.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_motion_energy.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_temporal_delta.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_projection_map.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_mask.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_framesheet.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m02_projection_balanced_temporal_patch.mat
1,379,129,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m03_projection_structural,16,0.129165649414062,0.1647105,1,0.990096847216288,0.96770566701889,2.964923,0.4819348,1.4289,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_base.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_final.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_motion_energy.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_temporal_delta.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_projection_map.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_mask.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_framesheet.png,yehoshua_v16_2_candidate_a01_r0379_c0129_w256_f002_derivative_linearity_m03_projection_structural_temporal_patch.mat
2,644,132,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.0756072998046875,0.2231791,1,0.974736607074738,0.976636111736298,2.571848,0.5437912,1.398548,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_base.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
2,644,132,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m02_projection_balanced,16,0.0994415283203125,0.2264037,1,0.98830406665802,0.973931610584259,2.326547,0.4784825,1.113212,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_base.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_final.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_motion_energy.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_temporal_delta.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_projection_map.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_mask.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_framesheet.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m02_projection_balanced_temporal_patch.mat
2,644,132,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m03_projection_structural,16,0.129547119140625,0.1821815,1,0.991073755423228,0.969914436340332,2.724116,0.4764383,1.297873,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_base.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_final.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_motion_energy.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_temporal_delta.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_projection_map.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_mask.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_framesheet.png,yehoshua_v16_2_candidate_a02_r0644_c0132_w256_f002_derivative_linearity_m03_projection_structural_temporal_patch.mat
3,210,173,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.0756072998046875,0.2033522,1,0.98038436571757,0.980940639972687,2.721766,0.5339047,1.453164,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_base.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
3,210,173,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m02_projection_balanced,16,0.099273681640625,0.2103985,1,0.991177813212077,0.978560864925385,2.540909,0.5107021,1.297648,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_base.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_final.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_motion_energy.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_temporal_delta.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_projection_map.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_mask.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_framesheet.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m02_projection_balanced_temporal_patch.mat
3,210,173,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m03_projection_structural,16,0.129287719726562,0.1750451,1,0.99301716486613,0.975467562675476,2.924527,0.5358427,1.567087,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_base.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_final.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_motion_energy.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_temporal_delta.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_projection_map.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_mask.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_framesheet.png,yehoshua_v16_2_candidate_a03_r0210_c0173_w256_f002_derivative_linearity_m03_projection_structural_temporal_patch.mat
4,511,236,256,1,f002_derivative_linearity,d/dx[a f(x)+b g(x)] = a f'(x)+b g'(x),m01_projection_visible,16,0.0755462646484375,0.3229278,1,0.956509745121002,0.984592974185944,1.32482,0.4857497,0.6435307,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_base.png,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_final.png,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_motion_energy.png,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_temporal_delta.png,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_projection_map.png,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_mask.png,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_framesheet.png,yehoshua_v16_2_candidate_a04_r0511_c0236_w256_f002_derivative_linearity_m01_projection_visible_temporal_patch.mat
