node_id,role,x,y,local_energy,active_step
1,anchor,51.000000,276.149456,0.318703026,1
2,boundary_open,88.000000,288.558575,0.337887317,2
3,unit,126.000000,261.359615,0.323551774,3
4,relation,163.000000,242.804567,0.328277051,4
5,unit,200.000000,250.546982,1.000000000,5
6,boundary_close,237.000000,257.692800,0.844700873,6
7,transition,275.000000,263.405671,0.781246662,7
8,unit,312.000000,258.149291,0.618548572,8
9,relation,349.000000,250.219599,0.481937796,9
10,unit,386.000000,251.464902,0.322107047,10
11,state,424.000000,242.146106,0.495807856,11
12,closure,461.000000,256.438740,0.347487837,12
