pair_id,original_representation,complementary_representation,source_relative_path,pair_folder,knowledge_gap_relation,source_sha256,paired_copy_sha256
1,String,QuantizedVibration,images/string_foundations/String.png,pairs/String,String requires QuantizedVibration,e2a3c3c80003aa2c1c5c13ef2617a7949ca23fb3147315bcc7c5c912998bdf62,e2a3c3c80003aa2c1c5c13ef2617a7949ca23fb3147315bcc7c5c912998bdf62
2,OpenString,EndpointBoundaryConditions,images/string_foundations/OpenString.png,pairs/OpenString,OpenString requires EndpointBoundaryConditions,dfcf66c88734057bc3f0f8a7b65f2ba6efe475e2ab9365dc6148bb7a9a75b5f5,dfcf66c88734057bc3f0f8a7b65f2ba6efe475e2ab9365dc6148bb7a9a75b5f5
3,ClosedString,PeriodicBoundaryConditions,images/string_foundations/ClosedString.png,pairs/ClosedString,ClosedString requires PeriodicBoundaryConditions,502872d62addad2d1517d9832d3417d1c6e75ede741e99c81f240fec18d06860,502872d62addad2d1517d9832d3417d1c6e75ede741e99c81f240fec18d06860
4,StringTension,EnergyLengthScale,images/string_foundations/StringTension.png,pairs/StringTension,StringTension requires EnergyLengthScale,fac29a4c1d44b352e2f4b7172339acd86f3a5eb73e04d44fd9b9231d64cbe63c,fac29a4c1d44b352e2f4b7172339acd86f3a5eb73e04d44fd9b9231d64cbe63c
5,ModeSpectrum,OscillatorQuantization,images/string_foundations/ModeSpectrum.png,pairs/ModeSpectrum,ModeSpectrum requires OscillatorQuantization,98d26afdb3ee6380ac7a7043719206bc7bb68c1839d239557d015ac06cf69a81,98d26afdb3ee6380ac7a7043719206bc7bb68c1839d239557d015ac06cf69a81
6,Worldsheet,SpacetimeEmbedding,images/string_foundations/Worldsheet.png,pairs/Worldsheet,Worldsheet requires SpacetimeEmbedding,759c23d1d76917e9705b7b7c03c1613b7d9a9c5b7a2961e360fc40e6920ef13f,759c23d1d76917e9705b7b7c03c1613b7d9a9c5b7a2961e360fc40e6920ef13f
7,Brane,OpenStringBoundary,images/string_foundations/Brane.png,pairs/Brane,Brane requires OpenStringBoundary,accf7a3471eab95defa8e74023a42a3527d2bdca7f7ad9d901a8acb62b1cc0bb,accf7a3471eab95defa8e74023a42a3527d2bdca7f7ad9d901a8acb62b1cc0bb
8,StringInteraction,SplittingJoining,images/string_foundations/StringInteraction.png,pairs/StringInteraction,StringInteraction requires SplittingJoining,b1e24afec354f3eda1ca94a2277ae7b6cfe157f00219843f7f85e52450dceb9a,b1e24afec354f3eda1ca94a2277ae7b6cfe157f00219843f7f85e52450dceb9a
9,CompactDimension,MomentumWinding,images/string_foundations/CompactDimension.png,pairs/CompactDimension,CompactDimension requires MomentumWinding,e982615284ed76a3b1353e51326c8598099c7a1ecc6ace2194c9c16e236b6fd0,e982615284ed76a3b1353e51326c8598099c7a1ecc6ace2194c9c16e236b6fd0
10,DualityMapping,RadiusInversion,images/string_foundations/DualityMapping.png,pairs/DualityMapping,DualityMapping requires RadiusInversion,e2419556e224dd977afb9f7d364e902ff2bf97919e30d573163d001b41bf42d0,e2419556e224dd977afb9f7d364e902ff2bf97919e30d573163d001b41bf42d0
11,WaveFunctionExtension,ComplexAmplitude,images/wave_function/WaveFunctionExtension.png,pairs/WaveFunctionExtension,WaveFunctionExtension requires ComplexAmplitude,3b0c19bc0bb91511ff016c4164127022a1f65183e5200a14248730173c431ef1,3b0c19bc0bb91511ff016c4164127022a1f65183e5200a14248730173c431ef1
12,ProbabilityFlow,ProbabilityCurrent,images/wave_function/ProbabilityFlow.png,pairs/ProbabilityFlow,ProbabilityFlow requires ProbabilityCurrent,8dea5444c2f5f4253573a9f3597ad6167c8605c656778ab0f2b86968989916bd,8dea5444c2f5f4253573a9f3597ad6167c8605c656778ab0f2b86968989916bd
13,PhaseTransport,PhaseCoherence,images/wave_function/PhaseTransport.png,pairs/PhaseTransport,PhaseTransport requires PhaseCoherence,4028b34f81065ef8c1895ea9f1baa2596d837f46816fc076b4d6b6dd26dddb97,4028b34f81065ef8c1895ea9f1baa2596d837f46816fc076b4d6b6dd26dddb97
14,ModeSuperposition,InterferenceStructure,images/wave_function/ModeSuperposition.png,pairs/ModeSuperposition,ModeSuperposition requires InterferenceStructure,b3c3db5cb3d5a5c611581d3e325147d72e7f262f7884f59350fd2f0fabb06cad,b3c3db5cb3d5a5c611581d3e325147d72e7f262f7884f59350fd2f0fabb06cad
15,HumanSymbolCalibration,SymbolMeaningBinding,images/terminal_system/HumanSymbolCalibration.png,pairs/HumanSymbolCalibration,HumanSymbolCalibration requires SymbolMeaningBinding,aaba5a03a8509c93db313808f8c20d617f28ef4c9f49a4fada6cf6694097be18,aaba5a03a8509c93db313808f8c20d617f28ef4c9f49a4fada6cf6694097be18
16,TerminalChain,AcyclicDependency,images/terminal_system/TerminalChain.png,pairs/TerminalChain,TerminalChain requires AcyclicDependency,ba1b4f639d47c9ad4bbb7c893ff5d7ecc2339d646eed717a5590dd81b23370f9,ba1b4f639d47c9ad4bbb7c893ff5d7ecc2339d646eed717a5590dd81b23370f9
17,ProjectionEfficiency,InformationRetention,images/terminal_system/ProjectionEfficiency.png,pairs/ProjectionEfficiency,ProjectionEfficiency requires InformationRetention,baa0b887573439f59239c1fedd0b96e75aeae5e5dc3bea33b728d418aa7c6c92,baa0b887573439f59239c1fedd0b96e75aeae5e5dc3bea33b728d418aa7c6c92
