pair_id,original_representation,complementary_representation,source_relative_path,pair_folder,knowledge_gap_relation,source_sha256,paired_copy_sha256
1,Worldsheet,SpacetimeEmbedding,images/concepts/Worldsheet.png,pairs/Worldsheet,Worldsheet requires SpacetimeEmbedding,c0fdddc89ccddc743604808050f01de1d0be863ae4591d1a1152cc5a4658a866,c0fdddc89ccddc743604808050f01de1d0be863ae4591d1a1152cc5a4658a866
2,EmbeddingMap,TargetSpaceCoordinates,images/concepts/EmbeddingMap.png,pairs/EmbeddingMap,EmbeddingMap requires TargetSpaceCoordinates,501a2427c863e4a2be1323ace832826ed89d671b18f5bf51a95d6957c74e5786,501a2427c863e4a2be1323ace832826ed89d671b18f5bf51a95d6957c74e5786
3,ReggeSlope,MassSpinTrajectory,images/concepts/ReggeSlope.png,pairs/ReggeSlope,ReggeSlope requires MassSpinTrajectory,cb1a429eb43cc89f57452fa0f5731c68c93608e1afe5d3a7d0feb33d797a8645,cb1a429eb43cc89f57452fa0f5731c68c93608e1afe5d3a7d0feb33d797a8645
4,StringTension,EnergyLengthScale,images/concepts/StringTension.png,pairs/StringTension,StringTension requires EnergyLengthScale,eacc5201470cc452dd5911103dfad3a23aaf0372c5625a1148f722e8b4d58b47,eacc5201470cc452dd5911103dfad3a23aaf0372c5625a1148f722e8b4d58b47
5,InducedMetric,WorldsheetGeometry,images/concepts/InducedMetric.png,pairs/InducedMetric,InducedMetric requires WorldsheetGeometry,59a2669ca8a472a04b9b94f962138439b28bbc75ed40bfe9c3e5de70181bdced,59a2669ca8a472a04b9b94f962138439b28bbc75ed40bfe9c3e5de70181bdced
6,NambuGotoAction,MinimalSurfaceDynamics,images/concepts/NambuGotoAction.png,pairs/NambuGotoAction,NambuGotoAction requires MinimalSurfaceDynamics,109c052c78b1d203ce8edd518f464a5338895be22c2cb829af0d9c560147dd68,109c052c78b1d203ce8edd518f464a5338895be22c2cb829af0d9c560147dd68
7,PolyakovAction,AuxiliaryWorldsheetMetric,images/concepts/PolyakovAction.png,pairs/PolyakovAction,PolyakovAction requires AuxiliaryWorldsheetMetric,ffee458290d6d0d458ec460683f61487e0bb1c234ef5c187c77d87a673f16a6d,ffee458290d6d0d458ec460683f61487e0bb1c234ef5c187c77d87a673f16a6d
8,WeylSymmetry,ConformalGauge,images/concepts/WeylSymmetry.png,pairs/WeylSymmetry,WeylSymmetry requires ConformalGauge,543b0000c375f1b04c12162073a8ac10401b69999e195f873c6458f610f6a354,543b0000c375f1b04c12162073a8ac10401b69999e195f873c6458f610f6a354
9,WorldsheetStressEnergy,VirasoroConstraints,images/concepts/WorldsheetStressEnergy.png,pairs/WorldsheetStressEnergy,WorldsheetStressEnergy requires VirasoroConstraints,c624781a0ef5b016b41af9e2a9db4bb1aba4ee58dab39182c19cec0468f4ad82,c624781a0ef5b016b41af9e2a9db4bb1aba4ee58dab39182c19cec0468f4ad82
10,VirasoroAlgebra,ConformalGenerators,images/concepts/VirasoroAlgebra.png,pairs/VirasoroAlgebra,VirasoroAlgebra requires ConformalGenerators,c72119e898d942088afb5c474d33827e8ec223b5b44e1c964a72096e188d6847,c72119e898d942088afb5c474d33827e8ec223b5b44e1c964a72096e188d6847
11,OscillatorModes,ExcitationLevels,images/concepts/OscillatorModes.png,pairs/OscillatorModes,OscillatorModes requires ExcitationLevels,6cb5655d0a304ed1d021ef5bc0380e42d1f31fdf843b2a57125886d77f1f88ee,6cb5655d0a304ed1d021ef5bc0380e42d1f31fdf843b2a57125886d77f1f88ee
12,LevelMatching,LeftRightModeBalance,images/concepts/LevelMatching.png,pairs/LevelMatching,LevelMatching requires LeftRightModeBalance,6d3ea0fa59f86d4b423eb1ca084912f140f4630a57407d6ba5cf4bca3e3e1bf7,6d3ea0fa59f86d4b423eb1ca084912f140f4630a57407d6ba5cf4bca3e3e1bf7
13,CriticalDimension,AnomalyCancellation,images/concepts/CriticalDimension.png,pairs/CriticalDimension,CriticalDimension requires AnomalyCancellation,0640a1c6bb7b4de8be989333756c89736c9087c5903ab10734cdf3c5e2e673bb,0640a1c6bb7b4de8be989333756c89736c9087c5903ab10734cdf3c5e2e673bb
14,WorldsheetSupersymmetry,BosonFermionPairing,images/concepts/WorldsheetSupersymmetry.png,pairs/WorldsheetSupersymmetry,WorldsheetSupersymmetry requires BosonFermionPairing,581c735d52040fa58b42a9de2e513d4b38ac2f5cd47e80ae6583e6412de89e9d,581c735d52040fa58b42a9de2e513d4b38ac2f5cd47e80ae6583e6412de89e9d
